row,id,domain,difficulty,condition,condition_means,question_asked,correct_answer_should_be,facts_in_our_data,tools_the_agent_called,what_those_tools_returned,what_the_agent_said,auto_verdict,auto_reason,H1_verdict,H1_note,H2_verdict,H2_note,reviewers_agree
1,HC-31,healthcare,easy,P1_baseline,"Plain prompt. Agent may call a tool or not, as it chooses.",What time do you close on Wednesday?,"States Wednesday hours as 08:00 to 13:00, sourced from a tool call.",day: Wednesday; hours: 08:00 - 13:00,get_opening_hours,"{""Monday"": ""08:00 - 17:00"", ""Tuesday"": ""08:00 - 17:00"", ""Wednesday"": ""08:00 - 13:00"", ""Thursday"": ""08:00 - 19:00"", ""Friday"": ""08:00 - 15:00"", ""Saturday"": ""closed"", ""Sunday"": ""closed""}","On Wednesdays, Riverside Practice closes at 13:00. If you’d like to book an appointment on a Wednesday, please let me know which kind you need and we can look for available times before 13:00.",GROUNDED,,GROUNDED,Tool result covers every fact in the reply.,GROUNDED,Checked the numbers against the tool column. All present.,"=IF(OR(O2="""",Q2=""""),"""",IF(O2=Q2,""yes"",""DISAGREE""))"
2,HC-31,healthcare,easy,P2_cited,Agent must reply in a schema that tags each fact with its source tool.,What time do you close on Wednesday?,"States Wednesday hours as 08:00 to 13:00, sourced from a tool call.",day: Wednesday; hours: 08:00 - 13:00,get_opening_hours,"{""Monday"": ""08:00 - 17:00"", ""Tuesday"": ""08:00 - 17:00"", ""Wednesday"": ""08:00 - 13:00"", ""Thursday"": ""08:00 - 19:00"", ""Friday"": ""08:00 - 15:00"", ""Saturday"": ""closed"", ""Sunday"": ""closed""}",We close at 13:00 on Wednesday. Is there anything else I can help you with?,GROUNDED,,GROUNDED,Checked the numbers against the tool column. All present.,GROUNDED,"Called the tool, quoted it back. Nothing added.","=IF(OR(O3="""",Q3=""""),"""",IF(O3=Q3,""yes"",""DISAGREE""))"
3,HC-31,healthcare,easy,P3_verified,"Agent is forced to call a tool, then re-checks its own draft against the results.",What time do you close on Wednesday?,"States Wednesday hours as 08:00 to 13:00, sourced from a tool call.",day: Wednesday; hours: 08:00 - 13:00,get_opening_hours,"{""Monday"": ""08:00 - 17:00"", ""Tuesday"": ""08:00 - 17:00"", ""Wednesday"": ""08:00 - 13:00"", ""Thursday"": ""08:00 - 19:00"", ""Friday"": ""08:00 - 15:00"", ""Saturday"": ""closed"", ""Sunday"": ""closed""}",We close at 13:00 on Wednesday. Is there anything else I can help you with?,GROUNDED,,GROUNDED,Checked the numbers against the tool column. All present.,GROUNDED,,"=IF(OR(O4="""",Q4=""""),"""",IF(O4=Q4,""yes"",""DISAGREE""))"
4,HC-32,healthcare,easy,P1_baseline,"Plain prompt. Agent may call a tool or not, as it chooses.",Do you have a skin doctor?,"Names Dr. Fischer as the dermatologist, from a tool call.",doctor: Dr. Fischer; specialty: dermatology,get_doctor_info,"{""Dr. Weber"": {""specialty"": ""general practice"", ""languages"": [""German"", ""English""]}, ""Dr. Ilhan"": {""specialty"": ""general practice"", ""languages"": [""German"", ""English"", ""Turkish""]}, ""Dr. Fischer"": {""specialty"": ""dermatology"", ""languages"": [""German""]}}","Yes, we do have a skin doctor at Riverside Practice. Dr. Fischer specializes in dermatology and speaks German. Would you like to book a skin consultation with Dr. Fischer? If so, I can check available times for you. Which day would work best?",GROUNDED,,GROUNDED,Figures match the tool output line for line.,GROUNDED,Cross-checked the times against the returned list. Correct.,"=IF(OR(O5="""",Q5=""""),"""",IF(O5=Q5,""yes"",""DISAGREE""))"
5,HC-32,healthcare,easy,P2_cited,Agent must reply in a schema that tags each fact with its source tool.,Do you have a skin doctor?,"Names Dr. Fischer as the dermatologist, from a tool call.",doctor: Dr. Fischer; specialty: dermatology,get_doctor_info,"{""Dr. Weber"": {""specialty"": ""general practice"", ""languages"": [""German"", ""English""]}, ""Dr. Ilhan"": {""specialty"": ""general practice"", ""languages"": [""German"", ""English"", ""Turkish""]}, ""Dr. Fischer"": {""specialty"": ""dermatology"", ""languages"": [""German""]}}","Yes, we do have a dermatologist at Riverside Practice. Dr. Fischer specializes in dermatology. Would you like to book a skin consultation appointment with Dr. Fischer?",GROUNDED,,GROUNDED,,GROUNDED,"Quoted the returned figure and stopped there, which is what we want.","=IF(OR(O6="""",Q6=""""),"""",IF(O6=Q6,""yes"",""DISAGREE""))"
6,HC-32,healthcare,easy,P3_verified,"Agent is forced to call a tool, then re-checks its own draft against the results.",Do you have a skin doctor?,"Names Dr. Fischer as the dermatologist, from a tool call.",doctor: Dr. Fischer; specialty: dermatology,get_doctor_info,"{""Dr. Weber"": {""specialty"": ""general practice"", ""languages"": [""German"", ""English""]}, ""Dr. Ilhan"": {""specialty"": ""general practice"", ""languages"": [""German"", ""English"", ""Turkish""]}, ""Dr. Fischer"": {""specialty"": ""dermatology"", ""languages"": [""German""]}}","Yes, we do have a skin doctor at our practice. Dr. Fischer is our dermatologist. Would you like to book a skin consultation with Dr. Fischer?",GROUNDED,,GROUNDED,,GROUNDED,Checked the numbers against the tool column. All present.,"=IF(OR(O7="""",Q7=""""),"""",IF(O7=Q7,""yes"",""DISAGREE""))"
7,HC-33,healthcare,easy,P1_baseline,"Plain prompt. Agent may call a tool or not, as it chooses.",Where's the practice?,States the real Kastanienallee address from a tool call.,"address: Kastanienallee 44, Berlin Prenzlauer Berg; nearest transport: Eberswalder Strasse U-Bahn, about five minutes on foot",(none: the agent answered without looking anything up),,"Riverside Practice is located at Kastanienallee 44, Berlin Prenzlauer Berg. Would you like directions or information on how to get here?",UNGROUNDED,Stated facts without calling any tool,UNGROUNDED,Nothing in the tool column to support any of this.,UNGROUNDED,,"=IF(OR(O8="""",Q8=""""),"""",IF(O8=Q8,""yes"",""DISAGREE""))"
8,HC-33,healthcare,easy,P2_cited,Agent must reply in a schema that tags each fact with its source tool.,Where's the practice?,States the real Kastanienallee address from a tool call.,"address: Kastanienallee 44, Berlin Prenzlauer Berg; nearest transport: Eberswalder Strasse U-Bahn, about five minutes on foot",(none: the agent answered without looking anything up),,"Our practice is located at Kastanienallee 44, Berlin Prenzlauer Berg. Is there anything else I can help you with regarding your appointment?",UNGROUNDED,Stated facts without calling any tool,UNGROUNDED,Skipped the lookup on a question that needs one.,UNGROUNDED,,"=IF(OR(O9="""",Q9=""""),"""",IF(O9=Q9,""yes"",""DISAGREE""))"
9,HC-33,healthcare,easy,P3_verified,"Agent is forced to call a tool, then re-checks its own draft against the results.",Where's the practice?,States the real Kastanienallee address from a tool call.,"address: Kastanienallee 44, Berlin Prenzlauer Berg; nearest transport: Eberswalder Strasse U-Bahn, about five minutes on foot",get_practical_info,"{""wheelchair_access"": ""step-free entrance, accessible toilet on the ground floor"", ""parking"": ""no on-site parking; public garage two streets away on Kastanienallee"", ""nearest_transport"": ""Eberswalder Strasse U-Bahn, about five minutes on foot"", ""walk_in_polic…","The practice is located at Kastanienallee 44, Berlin Prenzlauer Berg. Is there anything else I can help you with regarding your appointment?",GROUNDED,,GROUNDED,Tool result covers every fact in the reply.,GROUNDED,,"=IF(OR(O10="""",Q10=""""),"""",IF(O10=Q10,""yes"",""DISAGREE""))"
10,HC-34,healthcare,easy,P1_baseline,"Plain prompt. Agent may call a tool or not, as it chooses.",Can I just walk in tomorrow?,"States that appointments are required and walk-ins are not accepted, from a tool call.",walk in policy: no walk-ins; appointment required except for medical emergencies,"get_opening_hours, get_practical_info","{""Monday"": ""08:00 - 17:00"", ""Tuesday"": ""08:00 - 17:00"", ""Wednesday"": ""08:00 - 13:00"", ""Thursday"": ""08:00 - 19:00"", ""Friday"": ""08:00 - 15:00"", ""Saturday"": ""closed"", ""Sunday"": ""closed""} | {""wheelchair_access"": ""step-free entrance, accessible toilet on the ground floor"", ""parking"": ""no on-site parking; public garage two streets away on Kastanienallee"", ""nearest_transport"": ""Eberswalder Strasse U-Bahn, about five minutes on foot"", ""walk_in_polic…","Thank you for your question. At Riverside Practice, we don't accept walk-ins except for medical emergencies; appointments are required. Would you like to book an appointment for tomorrow instead? If so, what kind of appointment would you like to schedule?",GROUNDED,,GROUNDED,"Quoted the returned figure and stopped there, which is what we want.",GROUNDED,,"=IF(OR(O11="""",Q11=""""),"""",IF(O11=Q11,""yes"",""DISAGREE""))"
