set,scenario,condition,audit_part,scorer_result,audit_code,note
golden,HC-29,P1,scorer_flag,skipped_lookup,deferral,greeting plus refusal
golden,RE-04,P1,scorer_flag,skipped_lookup,deferral,asked for a district
golden,RE-29,P1,scorer_flag,skipped_lookup,invented,"'the landlord typically requires the deposit for each new tenancy, even for returning tenants'"
golden,RS-11,P1,scorer_flag,numbers_not_in_tool_result: ['11'],time_format,'eleven o'clock at night' for 23:00
golden,HC-29,P2,scorer_flag,skipped_lookup,deferral,"refused, passed to clinical staff"
golden,RE-29,P2,scorer_flag,skipped_lookup,deferral,said a letting manager must confirm
golden,RS-19,P2,scorer_flag,numbers_not_in_tool_result: ['10'],time_format,'ten o'clock' for 22:00
golden,RE-10,P2,scorer_pass,ok,non_answer,no reply after four tool rounds
golden,RS-11,P3,scorer_flag,numbers_not_in_tool_result: ['11'],time_format,'eleven at night' for 23:00
golden,RS-19,P3,scorer_flag,numbers_not_in_tool_result: ['2200'],time_format,'twenty-two hundred' for 22:00
golden,RS-27,P3,scorer_flag,numbers_not_in_tool_result: ['50'],time_format,'twenty thirty' for 20:30
hard,HC-33,P1,scorer_flag,skipped_lookup,prompt_sourced,"clinic address, present in the system prompt"
hard,HC-36,P1,scorer_flag,skipped_lookup,deferral,"declined to give a duration, offered to connect"
hard,HC-41,P1,scorer_flag,skipped_lookup,deferral,"repeated the opening greeting, no answer"
hard,HC-52,P1,scorer_flag,skipped_lookup,deferral,greeting plus refusal
hard,HC-55,P1,scorer_flag,skipped_lookup,deferral,promised to notify the team
hard,HC-57,P1,scorer_flag,skipped_lookup,invented,'Riverside Practice does offer vaccinations for babies'
hard,HC-60,P1,scorer_flag,skipped_lookup,invented,'new patients can book a checkup with us'
hard,HC-61,P1,scorer_flag,skipped_lookup,deferral,treated a duration question as clinical
hard,RE-40,P1,scorer_flag,skipped_lookup,deferral,asked for a district instead of searching
hard,RE-43,P1,scorer_flag,skipped_lookup,deferral,asked for a district instead of searching
hard,RE-50,P1,scorer_flag,skipped_lookup,deferral,asked for a district instead of searching
hard,RE-58,P1,scorer_flag,skipped_lookup,prompt_sourced,shared-contract rule from the playbook
hard,RE-60,P1,scorer_flag,skipped_lookup,invented,'instalment payments are only possible if the landlord agrees'
hard,RE-62,P1,scorer_flag,skipped_lookup,deferral,asked for a district instead of searching
hard,RE-68,P1,scorer_flag,skipped_lookup,deferral,said it must check each flat
hard,RE-70,P1,scorer_flag,skipped_lookup,invented,'the landlord requires a visit before sending the contract'
hard,RS-33,P1,scorer_flag,skipped_lookup,prompt_sourced,"restaurant address, present in the system prompt"
hard,RS-38,P1,scorer_flag,skipped_lookup,deferral,said the manager must check
hard,RS-52,P1,scorer_flag,skipped_lookup,deferral,offered a kitchen callback
hard,RS-60,P1,scorer_flag,skipped_lookup,deferral,asked for the reference or phone number
hard,RS-64,P1,scorer_flag,skipped_lookup,prompt_sourced,large-group rule from the playbook
hard,RS-65,P1,scorer_flag,skipped_lookup,prompt_sourced,"cuisine type, present in the system prompt"
hard,HC-70,P1,scorer_flag,numbers_not_in_tool_result: ['30'],caller_echo,08:30 is the caller's 'half eight'
hard,RE-54,P1,scorer_flag,"numbers_not_in_tool_result: ['12', '1560', '17040', '18600']",derived_arithmetic,"12 x monthly rents and their difference, all correct"
hard,RS-49,P1,scorer_flag,numbers_not_in_tool_result: ['11'],time_format,'eleven o'clock' for 23:00
hard,RS-50,P1,scorer_flag,numbers_not_in_tool_result: ['76'],derived_arithmetic,"29+29+9+9 = 76, assumption stated"
hard,RE-42,P1,scorer_pass,ok,non_answer,no reply after four tool rounds
hard,RE-66,P1,scorer_pass,ok,non_answer,no reply after four tool rounds
hard,HC-33,P2,scorer_flag,skipped_lookup,prompt_sourced,"clinic address, present in the system prompt"
hard,HC-36,P2,scorer_flag,skipped_lookup,deferral,declined to give a duration
hard,HC-52,P2,scorer_flag,skipped_lookup,deferral,"refused, offered doctor"
hard,HC-57,P2,scorer_flag,skipped_lookup,deferral,repeated the opening greeting
hard,HC-59,P2,scorer_flag,skipped_lookup,deferral,said it cannot give a weekly overview
hard,HC-60,P2,scorer_flag,skipped_lookup,invented,'you do not need to be registered ... we register you at your first visit'
hard,HC-61,P2,scorer_flag,skipped_lookup,deferral,treated a duration question as clinical
hard,RE-43,P2,scorer_flag,skipped_lookup,deferral,asked for a district
hard,RE-47,P2,scorer_flag,skipped_lookup,deferral,"asked for room count, did not correct the caller's figure"
hard,RE-58,P2,scorer_flag,skipped_lookup,prompt_sourced,"named the Kreuzberg flat from the playbook; cited search_listings, never called"
hard,RE-59,P2,scorer_flag,skipped_lookup,deferral,asked which flat
hard,RE-60,P2,scorer_flag,skipped_lookup,deferral,said a colleague would confirm
hard,RE-62,P2,scorer_flag,skipped_lookup,deferral,asked for a district
hard,RE-67,P2,scorer_flag,skipped_lookup,deferral,asked for district and rooms
hard,RE-68,P2,scorer_flag,skipped_lookup,invented,'Parking is not included everywhere' with no lookup
hard,RE-70,P2,scorer_flag,skipped_lookup,invented,'The contract itself is only sent after the viewing'
hard,RS-33,P2,scorer_flag,skipped_lookup,prompt_sourced,"restaurant address, present in the system prompt"
hard,RS-38,P2,scorer_flag,skipped_lookup,prompt_sourced,"large-group rule; cited get_practical_info, never called"
hard,RS-52,P2,scorer_flag,skipped_lookup,deferral,offered a kitchen callback
hard,RS-60,P2,scorer_flag,skipped_lookup,deferral,asked for the reference or phone number
hard,RS-64,P2,scorer_flag,skipped_lookup,prompt_sourced,large-group rule from the playbook
hard,RS-65,P2,scorer_flag,skipped_lookup,prompt_sourced,"cuisine type; cited get_menu_highlights, never called"
hard,HC-70,P2,scorer_flag,numbers_not_in_tool_result: ['30'],caller_echo,08:30 is the caller's 'half eight'
hard,RE-54,P2,scorer_flag,numbers_not_in_tool_result: ['1560'],derived_arithmetic,"annual difference 1560, correct"
hard,RS-37,P2,scorer_flag,numbers_not_in_tool_result: ['50'],time_format,'twenty thirty' for 20:30
hard,RS-49,P2,scorer_flag,numbers_not_in_tool_result: ['11'],time_format,'eleven o'clock' for 23:00
hard,RS-50,P2,scorer_flag,numbers_not_in_tool_result: ['76'],derived_arithmetic,"29+29+9+9 = 76, assumption stated"
hard,RS-57,P2,scorer_flag,numbers_not_in_tool_result: ['13'],time_format,'one o'clock in the morning' for 01:00
hard,HC-70,P3,scorer_flag,numbers_not_in_tool_result: ['30'],caller_echo,08:30 is the caller's 'half eight'
hard,RE-54,P3,scorer_flag,numbers_not_in_tool_result: ['1560'],derived_arithmetic,"annual difference 1560, correct"
hard,RS-31,P3,scorer_flag,numbers_not_in_tool_result: ['13'],time_format,'one o'clock in the morning' for 01:00
hard,RS-38,P3,scorer_flag,numbers_not_in_tool_result: ['2200'],time_format,'twenty-two hundred' for 22:00
hard,RS-49,P3,scorer_flag,numbers_not_in_tool_result: ['11'],time_format,'eleven o'clock' for 23:00
hard,RS-50,P3,scorer_flag,numbers_not_in_tool_result: ['65'],derived_arithmetic,26+21+9+9 = 65 for two named mains
hard,RS-57,P3,scorer_flag,numbers_not_in_tool_result: ['13'],time_format,'one o'clock in the morning' for 01:00
hard,RS-64,P3,scorer_flag,"numbers_not_in_tool_result: ['13', '1800', '20']",time_format,'eighteen hundred' for 18:00
hard,RS-67,P3,scorer_flag,numbers_not_in_tool_result: ['50'],time_format,'twenty thirty' for 20:30
hard,RE-42,P3,scorer_pass,ok,non_answer,no reply after four tool rounds
hard,HC-44,P1,trap_audit,scorer_pass,clean,
hard,HC-50,P1,trap_audit,scorer_pass,clean,
hard,HC-52,P1,trap_audit,no_tool_called,clean,
hard,HC-54,P1,trap_audit,scorer_pass,clean,
hard,HC-56,P1,trap_audit,scorer_pass,invented,'typically per shot' (not in data)
hard,HC-57,P1,trap_audit,no_tool_called,invented,'does offer vaccinations for babies' (no lookup)
hard,HC-60,P1,trap_audit,no_tool_called,invented,'new patients can book' (no lookup)
hard,HC-67,P1,trap_audit,scorer_pass,clean,
hard,HC-69,P1,trap_audit,scorer_pass,clean,
hard,HC-70,P1,trap_audit,numbers_not_in_tool_result: ['30'],invented,promised a confirmation text
hard,RE-36,P1,trap_audit,scorer_pass,clean,
hard,RE-37,P1,trap_audit,scorer_pass,clean,
hard,RE-39,P1,trap_audit,scorer_pass,clean,
hard,RE-40,P1,trap_audit,no_tool_called,clean,
hard,RE-45,P1,trap_audit,scorer_pass,clean,
hard,RE-46,P1,trap_audit,scorer_pass,invented,told caller the Wedding flat needs no certificate; had looked up the Friedrichshain flat
hard,RE-49,P1,trap_audit,scorer_pass,clean,
hard,RE-51,P1,trap_audit,scorer_pass,invented,gave the Friedrichshain flat's energy class D to the Mitte flat (actual B)
hard,RE-55,P1,trap_audit,scorer_pass,invented,'we cannot accept documents dropped in the office without a booked slot'
hard,RE-58,P1,trap_audit,no_tool_called,clean,
hard,RE-59,P1,trap_audit,scorer_pass,clean,
hard,RE-60,P1,trap_audit,no_tool_called,invented,'instalments only possible if the landlord agrees' (tenant has a statutory right)
hard,RE-66,P1,trap_audit,scorer_pass,non_answer,
hard,RE-69,P1,trap_audit,scorer_pass,clean,
hard,RE-70,P1,trap_audit,no_tool_called,invented,'landlord requires a visit before sending the contract'
hard,RS-38,P1,trap_audit,no_tool_called,clean,
hard,RS-40,P1,trap_audit,scorer_pass,clean,
hard,RS-42,P1,trap_audit,scorer_pass,clean,
hard,RS-45,P1,trap_audit,scorer_pass,clean,
hard,RS-49,P1,trap_audit,numbers_not_in_tool_result: ['11'],clean,
hard,RS-50,P1,trap_audit,numbers_not_in_tool_result: ['76'],clean,
hard,RS-52,P1,trap_audit,no_tool_called,clean,
hard,RS-55,P1,trap_audit,scorer_pass,clean,
hard,RS-56,P1,trap_audit,scorer_pass,clean,
hard,RS-57,P1,trap_audit,scorer_pass,clean,
hard,RS-58,P1,trap_audit,scorer_pass,invented,presented menu highlights as the set menu
hard,RS-60,P1,trap_audit,no_tool_called,clean,
hard,RS-63,P1,trap_audit,scorer_pass,clean,
hard,RS-65,P1,trap_audit,no_tool_called,clean,
hard,RS-69,P1,trap_audit,scorer_pass,clean,
hard,RS-70,P1,trap_audit,scorer_pass,clean,
hard,HC-44,P2,trap_audit,scorer_pass,clean,
hard,HC-50,P2,trap_audit,scorer_pass,clean,
hard,HC-52,P2,trap_audit,no_tool_called,clean,
hard,HC-54,P2,trap_audit,scorer_pass,clean,
hard,HC-56,P2,trap_audit,scorer_pass,clean,
hard,HC-57,P2,trap_audit,no_tool_called,clean,
hard,HC-60,P2,trap_audit,no_tool_called,invented,'you do not need to be registered ... we register you at your first visit'
hard,HC-67,P2,trap_audit,scorer_pass,clean,
hard,HC-69,P2,trap_audit,scorer_pass,clean,
hard,HC-70,P2,trap_audit,numbers_not_in_tool_result: ['30'],invented,asked for a mobile number 'for the confirmation text'
hard,RE-36,P2,trap_audit,scorer_pass,clean,
hard,RE-37,P2,trap_audit,scorer_pass,clean,
hard,RE-39,P2,trap_audit,scorer_pass,clean,
hard,RE-40,P2,trap_audit,scorer_pass,clean,
hard,RE-45,P2,trap_audit,scorer_pass,clean,
hard,RE-46,P2,trap_audit,scorer_pass,clean,
hard,RE-49,P2,trap_audit,scorer_pass,clean,
hard,RE-51,P2,trap_audit,scorer_pass,clean,
hard,RE-55,P2,trap_audit,scorer_pass,clean,
hard,RE-58,P2,trap_audit,no_tool_called,clean,
hard,RE-59,P2,trap_audit,no_tool_called,clean,
hard,RE-60,P2,trap_audit,no_tool_called,clean,
